time, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, cc_state, cc_param, bw_max, transit, 
0, 1, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1946,
0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3386,
29873, 3, -1, 0, 0, 15360, 0, 29657, 29657, 29657, 0, 0, 1252, 1934, 0, 0, 0, 0, 0, 0, 0, 0, 2189,
37815, 3, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 1908,
37815, 4, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 1963,
38762, 4, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 1963,
38762, 5, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 3215,
38762, 6, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 4467,
39837, 7, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 5719,
41766, 8, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 6971,
43793, 9, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 8223,
45778, 10, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 9475,
47782, 11, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 10727,
49785, 12, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 11979,
51775, 13, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 13231,
53775, 14, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 14483,
54882, 14, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 14483,
55756, 15, -1, 0, 0, 15360, 0, 37743, 30667, 29657, 0, 0, 1252, 2000, 0, 0, 0, 0, 0, 0, 0, 33366, 15735,
55831, 15, 1, 55831, 0, 15360, 21468, 47047, 32714, 29657, 0, 0, 1440, 2454, 0, 0, 0, 0, 0, 0, 0, 33366, 13882,
58210, 16, 1, 55831, 0, 15360, 21468, 47047, 32714, 29657, 0, 0, 1440, 2454, 0, 0, 0, 0, 0, 0, 0, 33366, 15322,
60682, 17, 1, 55831, 0, 15360, 21468, 47047, 32714, 29657, 0, 0, 1440, 2454, 0, 0, 0, 0, 0, 0, 0, 33366, 16762,
83856, 17, 3, 83856, 37815, 15360, 17237, 46041, 34379, 29657, 0, 34968, 1440, 2579, 0, 0, 1, 0, 0, 0, 0, 33366, 16652,
92739, 18, 3, 83856, 37815, 15360, 17237, 46041, 34379, 29657, 0, 34968, 1440, 2579, 0, 0, 1, 0, 0, 0, 0, 33366, 16707,
110784, 18, 7, 110784, 41766, 19068, 17526, 68218, 38608, 29657, 0, 34968, 1440, 2333, 0, 0, 1, 0, 0, 0, 0, 980952, 11699,
110784, 19, 7, 110784, 41766, 19068, 17526, 68218, 38608, 29657, 0, 34968, 1440, 2333, 0, 0, 0, 0, 0, 0, 0, 980952, 13139,
110784, 20, 7, 110784, 41766, 19068, 17526, 68218, 38608, 29657, 0, 34968, 1440, 2333, 0, 0, 0, 0, 0, 0, 0, 980952, 14579,
110784, 21, 7, 110784, 41766, 19068, 17526, 68218, 38608, 29657, 0, 34968, 1440, 2333, 0, 0, 0, 0, 0, 0, 0, 980952, 16019,
112550, 22, 7, 110784, 41766, 19068, 17526, 68218, 38608, 29657, 0, 34968, 1440, 2333, 0, 0, 0, 0, 0, 0, 0, 980952, 17459,
114827, 23, 7, 110784, 41766, 19068, 17526, 68218, 38608, 29657, 0, 34968, 1440, 2333, 0, 0, 0, 0, 0, 0, 0, 980952, 18899,
117143, 24, 7, 110784, 41766, 19068, 17526, 68218, 38608, 29657, 0, 34968, 1440, 2333, 0, 0, 0, 0, 0, 0, 0, 980952, 20339,
118896, 24, 9, 118896, 45778, 21540, 17426, 71254, 42688, 29657, 0, 34968, 1440, 2284, 0, 0, 0, 0, 0, 0, 0, 980952, 17835,
118915, 24, 12, 118915, 51775, 25248, 17429, 66300, 45639, 29657, 0, 34968, 1440, 2083, 0, 0, 0, 0, 0, 0, 0, 980952, 14079,
118924, 24, 14, 118924, 55756, 27720, 17440, 61352, 47603, 29657, 0, 34968, 1440, 1979, 0, 0, 0, 0, 0, 0, 0, 980952, 11575,
119096, 25, 14, 118924, 55756, 27720, 17440, 61352, 47603, 29657, 0, 34968, 1440, 1979, 0, 0, 0, 0, 0, 0, 0, 980952, 13015,
119703, 25, 16, 119703, 60682, 30568, 17554, 56581, 48725, 29657, 272271, 34968, 1440, 1837, 0, 0, 0, 0, 0, 0, 0, 980952, 10135,
120951, 26, 16, 119703, 60682, 30568, 17554, 56581, 48725, 29657, 272271, 34968, 1440, 1837, 0, 0, 0, 0, 0, 0, 0, 980952, 11575,
122792, 27, 16, 119703, 60682, 30568, 17554, 56581, 48725, 29657, 272271, 34968, 1440, 1837, 0, 0, 0, 0, 0, 0, 0, 980952, 13015,
124639, 28, 16, 119703, 60682, 30568, 17554, 56581, 48725, 29657, 272271, 34968, 1440, 1837, 0, 0, 0, 0, 0, 0, 0, 980952, 14455,
126468, 29, 16, 119703, 60682, 30568, 17554, 56581, 48725, 29657, 272271, 34968, 1440, 1837, 0, 0, 0, 0, 0, 0, 0, 980952, 15895,
128295, 30, 16, 119703, 60682, 30568, 17554, 56581, 48725, 29657, 272271, 34968, 1440, 1837, 0, 0, 0, 0, 0, 0, 0, 980952, 17335,
130140, 31, 16, 119703, 60682, 30568, 17554, 56581, 48725, 29657, 272271, 34968, 1440, 1837, 0, 0, 0, 0, 0, 0, 0, 980952, 18775,
131977, 32, 16, 119703, 60682, 30568, 17554, 56581, 48725, 29657, 272271, 34968, 1440, 1837, 0, 0, 0, 0, 0, 0, 0, 980952, 20215,
133813, 33, 16, 119703, 60682, 30568, 17554, 56581, 48725, 29657, 272271, 34968, 1440, 1837, 0, 0, 0, 0, 0, 0, 0, 980952, 21655,
135651, 34, 16, 119703, 60682, 30568, 17554, 56581, 48725, 29657, 272271, 34968, 1440, 1837, 0, 0, 0, 0, 0, 0, 0, 980952, 23095,
137482, 35, 16, 119703, 60682, 30568, 17554, 56581, 48725, 29657, 272271, 34968, 1440, 1837, 0, 0, 0, 0, 0, 0, 0, 980952, 24535,
137879, 35, 18, 137879, 110784, 32031, 18700, 27063, 46018, 27063, 186722, 6127, 1440, 1656, 0, 0, 0, 0, 0, 0, 0, 980952, 23040,
137893, 35, 20, 137893, 110784, 34879, 19668, 27109, 43655, 27063, 224715, 6127, 1440, 1442, 0, 0, 0, 0, 0, 0, 0, 980952, 20160,
137927, 35, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 17280,
138723, 36, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 18720,
139975, 37, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 20160,
141223, 38, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 21600,
142483, 39, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 23040,
143735, 40, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 24480,
144962, 41, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 25920,
146209, 42, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 27360,
147498, 43, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 28800,
148717, 44, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 30240,
149960, 45, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 31680,
151219, 46, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 33120,
152461, 47, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 34560,
153695, 48, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 36000,
154967, 49, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 37440,
156189, 50, 22, 137927, 114827, 37727, 18505, 21196, 40848, 21196, 248309, 6127, 1440, 1248, 0, 0, 0, 0, 0, 0, 0, 995804, 38880,
191859, 50, 26, 191859, 122792, 43423, 17532, 68499, 44304, 21196, 206971, 3056, 1440, 1176, 0, 0, 1, 0, 0, 0, 0, 995804, 33120,
191859, 51, 26, 191859, 122792, 43423, 17532, 68499, 44304, 21196, 206971, 3056, 1440, 1176, 0, 0, 0, 0, 0, 0, 0, 995804, 34560,
191859, 52, 26, 191859, 122792, 43423, 17532, 68499, 44304, 21196, 206971, 3056, 1440, 1176, 0, 0, 0, 0, 0, 0, 0, 995804, 36000,
191859, 53, 26, 191859, 122792, 43423, 17532, 68499, 44304, 21196, 206971, 3056, 1440, 1176, 0, 0, 0, 0, 0, 0, 0, 995804, 37440,
191859, 54, 26, 191859, 122792, 43423, 17532, 68499, 44304, 21196, 206971, 3056, 1440, 1176, 0, 0, 0, 0, 0, 0, 0, 995804, 38880,
191859, 55, 26, 191859, 122792, 43423, 17532, 68499, 44304, 21196, 206971, 3056, 1440, 1176, 0, 0, 0, 0, 0, 0, 0, 995804, 40320,
191859, 56, 26, 191859, 122792, 43423, 17532, 68499, 44304, 21196, 206971, 3056, 1440, 1176, 0, 0, 0, 0, 0, 0, 0, 995804, 41760,
191859, 57, 26, 191859, 122792, 43423, 17532, 68499, 44304, 21196, 206971, 3056, 1440, 1176, 0, 0, 0, 0, 0, 0, 0, 995804, 43200,
192602, 58, 26, 191859, 122792, 43423, 17532, 68499, 44304, 21196, 206971, 3056, 1440, 1176, 0, 0, 0, 0, 0, 0, 0, 995804, 44640,
218842, 58, 29, 218842, 128295, 47695, 17989, 90275, 50050, 21196, 253309, 3056, 1440, 1209, 0, 0, 1, 0, 0, 0, 0, 995804, 40320,
218842, 59, 29, 218842, 128295, 47695, 17989, 90275, 50050, 21196, 253309, 3056, 1440, 1209, 0, 0, 0, 0, 0, 0, 0, 995804, 41760,
218842, 60, 29, 218842, 128295, 47695, 17989, 90275, 50050, 21196, 253309, 3056, 1440, 1209, 0, 0, 0, 0, 0, 0, 0, 995804, 43200,
218842, 61, 29, 218842, 128295, 47695, 17989, 90275, 50050, 21196, 253309, 3056, 1440, 1209, 0, 0, 0, 0, 0, 0, 0, 995804, 44640,
218842, 62, 29, 218842, 128295, 47695, 17989, 90275, 50050, 21196, 253309, 3056, 1440, 1209, 0, 0, 0, 0, 0, 0, 0, 995804, 46080,
218842, 63, 29, 218842, 128295, 47695, 17989, 90275, 50050, 21196, 253309, 3056, 1440, 1209, 0, 0, 0, 0, 0, 0, 0, 995804, 47520,
218842, 64, 29, 218842, 128295, 47695, 17989, 90275, 50050, 21196, 253309, 3056, 1440, 1209, 0, 0, 0, 0, 0, 0, 0, 995804, 48960,
226846, 64, 32, 226846, 133813, 51967, 17535, 92161, 55313, 21196, 292611, 3056, 1440, 1227, 0, 0, 1, 0, 0, 0, 0, 995804, 44640,
226846, 65, 32, 226846, 133813, 51967, 17535, 92161, 55313, 21196, 292611, 3056, 1440, 1227, 0, 0, 0, 0, 0, 0, 0, 995804, 46080,
226846, 66, 32, 226846, 133813, 51967, 17535, 92161, 55313, 21196, 292611, 3056, 1440, 1227, 0, 0, 0, 0, 0, 0, 0, 995804, 47520,
226846, 67, 32, 226846, 133813, 51967, 17535, 92161, 55313, 21196, 292611, 3056, 1440, 1227, 0, 0, 0, 0, 0, 0, 0, 995804, 48960,
226846, 68, 32, 226846, 133813, 51967, 17535, 92161, 55313, 21196, 292611, 3056, 1440, 1227, 0, 0, 0, 0, 0, 0, 0, 995804, 50400,
226846, 69, 32, 226846, 133813, 51967, 17535, 92161, 55313, 21196, 292611, 3056, 1440, 1227, 0, 0, 0, 0, 0, 0, 0, 995804, 51840,
226846, 70, 32, 226846, 133813, 51967, 17535, 92161, 55313, 21196, 292611, 3056, 1440, 1227, 0, 0, 0, 0, 0, 0, 0, 995804, 53280,
226948, 70, 35, 226948, 138723, 56239, 17601, 86673, 59233, 21196, 774690, 3056, 1440, 1214, 0, 0, 1, 0, 0, 0, 0, 995804, 48960,
226948, 71, 35, 226948, 138723, 56239, 17601, 86673, 59233, 21196, 774690, 3056, 1440, 1214, 0, 0, 0, 0, 0, 0, 0, 995804, 50400,
226948, 72, 35, 226948, 138723, 56239, 17601, 86673, 59233, 21196, 774690, 3056, 1440, 1214, 0, 0, 0, 0, 0, 0, 0, 995804, 51840,
226985, 72, 40, 226985, 144962, 63359, 18330, 81823, 62056, 21196, 850572, 3056, 1440, 1129, 0, 0, 0, 0, 0, 0, 0, 1141208, 44640,
227060, 73, 40, 226985, 144962, 63359, 18330, 81823, 62056, 21196, 850572, 3056, 1440, 1129, 0, 0, 0, 0, 0, 0, 0, 1141208, 46080,
227827, 73, 44, 227827, 149960, 69055, 18332, 76963, 63919, 21196, 891697, 3056, 1440, 1067, 0, 0, 0, 0, 0, 0, 0, 1141208, 40320,
227847, 73, 48, 227847, 154967, 74751, 18381, 71376, 64851, 21196, 922371, 3056, 1440, 1000, 0, 0, 0, 0, 0, 0, 0, 1141208, 34560,
227872, 73, 49, 227872, 156189, 76175, 18887, 66267, 65028, 21196, 849566, 3056, 1440, 984, 0, 0, 0, 0, 0, 0, 0, 1141208, 33120,
228057, 74, 49, 227872, 156189, 76175, 18887, 66267, 65028, 21196, 849566, 3056, 1440, 984, 0, 0, 0, 0, 0, 0, 0, 1141208, 34560,
228752, 74, 51, 228752, 191859, 79023, 19481, 36885, 61511, 21196, 505279, 3056, 1440, 897, 0, 0, 0, 0, 0, 0, 0, 1141208, 31680,
228767, 74, 53, 228767, 191859, 81871, 21457, 36900, 58435, 21196, 530815, 3056, 1440, 823, 0, 0, 0, 0, 0, 0, 0, 1441295, 28800,
228789, 74, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 23040,
228789, 75, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 24480,
229533, 76, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 25920,
230252, 77, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 27360,
230993, 78, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 28800,
231716, 79, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 30240,
232471, 80, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 31680,
233201, 81, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 33120,
233946, 82, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 34560,
234704, 83, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 36000,
235381, 84, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 37440,
236096, 85, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 38880,
236827, 86, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 40320,
237558, 87, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 41760,
238289, 88, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 43200,
239018, 89, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 44640,
239781, 90, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 46080,
240507, 91, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 47520,
241205, 92, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 48960,
241976, 93, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 50400,
242681, 94, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 51840,
243434, 95, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 53280,
244161, 96, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 54720,
244881, 97, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 56160,
245604, 98, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 57600,
246335, 99, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 59040,
247062, 100, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 60480,
247796, 101, 57, 228789, 192602, 87567, 23738, 35459, 55563, 21196, 579500, 3056, 1440, 731, 0, 0, 0, 0, 0, 0, 0, 1521367, 61920,
247831, 101, 59, 247831, 218842, 90415, 19458, 28973, 52240, 21196, 465562, 10808, 1440, 666, 0, 0, 0, 0, 0, 0, 0, 1521367, 59040,
247844, 101, 61, 247844, 218842, 93263, 21466, 28986, 49334, 21196, 485965, 10808, 1440, 610, 0, 0, 0, 0, 0, 0, 0, 1521367, 56160,
247874, 101, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 53280,
248337, 102, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 54720,
248906, 103, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 56160,
249465, 104, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 57600,
250024, 105, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 59040,
250576, 106, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 60480,
251141, 107, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 61920,
251693, 108, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 63360,
252256, 109, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 64800,
252815, 110, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 66240,
253371, 111, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 67680,
253933, 112, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 69120,
254488, 113, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 70560,
255046, 114, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 72000,
255603, 115, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 73440,
256163, 116, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 74880,
256716, 117, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 76320,
257279, 118, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 77760,
257837, 119, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 79200,
258395, 120, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 80640,
258952, 121, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 82080,
259517, 122, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 83520,
260071, 123, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 84960,
260625, 124, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 86400,
261187, 125, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 87840,
261763, 126, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 89280,
262300, 127, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 90720,
262864, 128, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 92160,
263415, 129, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 93600,
263982, 130, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 95040,
264530, 131, 63, 247874, 218842, 96111, 23298, 27136, 46560, 21196, 496676, 10808, 1440, 559, 0, 0, 0, 0, 0, 0, 0, 1521367, 96480,
301785, 131, 69, 301785, 226846, 104655, 22454, 74547, 50058, 21196, 540544, 3058, 1440, 552, 0, 0, 1, 0, 0, 0, 0, 1521367, 87840,
301785, 132, 69, 301785, 226846, 104655, 22454, 74547, 50058, 21196, 540544, 3058, 1440, 552, 0, 0, 0, 0, 0, 0, 0, 1521367, 89280,
301785, 133, 69, 301785, 226846, 104655, 22454, 74547, 50058, 21196, 540544, 3058, 1440, 552, 0, 0, 0, 0, 0, 0, 0, 1521367, 90720,
301785, 134, 69, 301785, 226846, 104655, 22454, 74547, 50058, 21196, 540544, 3058, 1440, 552, 0, 0, 0, 0, 0, 0, 0, 1521367, 92160,
301785, 135, 69, 301785, 226846, 104655, 22454, 74547, 50058, 21196, 540544, 3058, 1440, 552, 0, 0, 0, 0, 0, 0, 0, 1521367, 93600,
301785, 136, 69, 301785, 226846, 104655, 22454, 74547, 50058, 21196, 540544, 3058, 1440, 552, 0, 0, 0, 0, 0, 0, 0, 1521367, 95040,
301785, 137, 69, 301785, 226846, 104655, 22454, 74547, 50058, 21196, 540544, 3058, 1440, 552, 0, 0, 0, 0, 0, 0, 0, 1521367, 96480,
301785, 138, 69, 301785, 226846, 104655, 22454, 74547, 50058, 21196, 540544, 3058, 1440, 552, 0, 0, 0, 0, 0, 0, 0, 1521367, 97920,
301785, 139, 69, 301785, 226846, 104655, 22454, 74547, 50058, 21196, 540544, 3058, 1440, 552, 0, 0, 0, 0, 0, 0, 0, 1521367, 99360,
301785, 140, 69, 301785, 226846, 104655, 22454, 74547, 50058, 21196, 540544, 3058, 1440, 552, 0, 0, 0, 0, 0, 0, 0, 1521367, 100800,
